"";"orig.ident";"nCount_RNA";"nFeature_RNA";"batches";"dataset";"nCount";"nUMI";"pMito";"pRibo";"pHb";"pChY";"pChX";"pnonXY";"pPCG";"pNCG";"pMito_UMIs";"pRibo_UMIs";"pHb_UMIs";"pChY_UMIs";"pChX_UMIs";"pnonXY_UMIs";"pPCG_UMIs";"pNCG_UMIs";"SEL_nCount";"SEL_nUMI";"SEL_pMito";"SEL_pRibo";"SEL_pHb";"SEL_pChY";"SEL_pChX";"SEL_pnonXY";"SEL_pPCG";"SEL_pNCG";"SEL_pMito_UMIs";"SEL_pRibo_UMIs";"SEL_pHb_UMIs";"SEL_pChY_UMIs";"SEL_pChX_UMIs";"SEL_pnonXY_UMIs";"SEL_pPCG_UMIs";"SEL_pNCG_UMIs";"S.Score";"G2M.Score";"Phase";"metadata_clusters";"clusters";"outlier";"subgroups"
"GSM2877130SIGAF1counts_12";"GSM2877130SIGAF1counts";8114;2578;"GSM2877130SIGAF1counts";"GSE108097";92,4175308044962;51,1272921246569;0,196265329633051;0,538745806175511;0,0153024382934963;0,0108204578860199;0,187103207749296;0,982280666276732;0,994246414995505;0,107117068054474;0,0618510687493134;0,179261427880153;0,0276606388408955;0,0195590252963492;0,171629750427566;0,984967346310337;0,995014350532632;0,0997318516529396;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0427219586229661;-0,0517392782283863;"S";"22";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_2881";"GSM2877130SIGAF1counts";10664;3037;"GSM2877130SIGAF1counts";"GSE108097";105,655099261702;55,4797260267208;0,184015937054456;0,576573947379311;0;0,00946475851130534;0,193275838074616;0,98109880682981;0,99456554329267;0,104112343624359;0,0624390541054463;0,166178622671144;0;0,0180246023478625;0,170996392014192;0,985106769659173;0,99527800015666;0,0970654542263031;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0253922907685943;-0,0725344562996879;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_6117";"GSM2877130SIGAF1counts";10131;3129;"GSM2877130SIGAF1counts";"GSE108097";103,353761421634;56,276105053566;0,182300512552733;0,524712276610704;0,00967550659255138;0,00967550659255138;0,199700205939772;0,979809273440393;0,990783213496671;0,135457092295719;0,0615554614492327;0,164787852440546;0,0177695311189031;0,0177695311189031;0,165743152341666;0,98600884946113;0,995886709349599;0,090607185922681;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0175671987349089;0,0105078768912213;"S";"16";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_1651";"GSM2877130SIGAF1counts";11357;3006;"GSM2877130SIGAF1counts";"GSE108097";108,88526071053;55,1724568965349;0,184824021783804;0,555991169747063;0;0;0,199103930570672;0,979978379777487;0,996027873589018;0,0885670906977071;0,0653505658126752;0,167104112738397;0;0;0,183053383997412;0,983102974569346;0,995885094881745;0,0887939338056565;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,00255767323014276;-0,0655250028030514;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_3682";"GSM2877130SIGAF1counts";6555;2326;"GSM2877130SIGAF1counts";"GSE108097";83,0602191184203;48,6723740945518;0,17978744435742;0,568537818870234;0;0;0,190360541648696;0,981714247723448;0,991191821124789;0,131885651956749;0,0616366071269124;0,188302945159554;0;0;0,170664037196572;0,985329278164293;0,992798042263716;0,118025116986867;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0417631909433499;-0,0589314048110002;"G1";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_2089";"GSM2877130SIGAF1counts";5085;2039;"GSM2877130SIGAF1counts";"GSE108097";72,7048829171741;45,5192267069642;0,162742295860355;0,540105509514106;0;0,0307554030455854;0,193539233059495;0,98061035607944;0,994213298663191;0,107424004585829;0,06213697660012;0,200144735274039;0;0,0219687387581873;0,172982021964076;0,984679945258658;0,993948873400621;0,109843693790937;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0365272433805377;-0,030471478347722;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_4306";"GSM2877130SIGAF1counts";7661;2522;"GSM2877130SIGAF1counts";"GSE108097";89,7106459680232;50,5667875190821;0,19403377378125;0,503467104435343;0;0;0,193392338062994;0,981121502964097;0,994767623243978;0,102163475594396;0,0655889953282839;0,182324108562636;0;0;0,171263678448553;0,985225229297479;0,995295936283358;0,0968813667215394;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,00432525983947489;-0,071566066017247;"G1";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877131SIGAG1counts_316";"GSM2877131SIGAG1counts";10293;2983;"GSM2877131SIGAG1counts";"GSE108097";103,368273662667;55,0181788139157;0,164175739297524;0,555737504651078;0;0;0,18124510869104;0,983437954614104;0,995168487344273;0,0981818812047903;0,0629628550020559;0,169532675456892;0;0;0,172430879847765;0,985021619902287;0,994866240824602;0,101198630759144;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,00595990928731138;-0,0411294093910944;"S";"8";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_6163";"GSM2877131SIGAG1counts";7782;2392;"GSM2877131SIGAG1counts";"GSE108097";90,6421535489973;49,254441424099;0,210484672763492;0,567391235411177;0,0110323945410172;0;0,18884417567783;0,982007065816006;0,995730906896232;0,0923036350942184;0,0673365628451256;0,188279842941399;0,0203027376026789;0;0,16494022000341;0,986303565757129;0,995248397865702;0,097368509004474;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0314705849869173;-0,0623171157734242;"G1";"22";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_4105";"GSM2877131SIGAG1counts";10724;3101;"GSM2877131SIGAG1counts";"GSE108097";106,611444038621;56,1515805654658;0,209949593005146;0,54604943058667;0;0,00937985606533705;0,193143057648808;0,981125770521936;0,993777933105426;0,11098395367305;0,0616919698475636;0,166110712452951;0;0,0178089376991646;0,185075909542691;0,982562847580231;0,993636588256034;0,111216780284884;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0250703952945059;-0,0280167442869813;"S";"4";"1";FALSE;"1_GSM2877131SIGAG1counts"
