"";"V1"
"1";"0610040J01Rik"
"2";"1190007I07Rik"
"3";"1500009L16Rik"
"4";"1700012B09Rik"
"5";"1700020L24Rik"
"6";"1700025G04Rik"
"7";"1700028J19Rik"
"8";"1810024B03Rik"
"9";"1810037I17Rik"
"10";"2210016F16Rik"
"11";"2310022B05Rik"
"12";"2310033P09Rik"
"13";"2310039H08Rik"
"14";"2610301B20Rik"
"15";"2610318N02Rik"
"16";"2700097O09Rik"
"17";"2810004N23Rik"
"18";"3110082I17Rik"
"19";"3830403N18Rik"
"20";"4930430F08Rik"
"21";"4930438A08Rik"
"22";"4930447C04Rik"
"23";"4930579G24Rik"
"24";"4933434E20Rik"
"25";"9530077C05Rik"
"26";"A430005L14Rik"
"27";"AA467197"
"28";"AI987944"
"29";"Aars"
"30";"Aarsd1"
"31";"Aasdhppt"
"32";"Abat"
"33";"Abca1"
"34";"Abca3"
"35";"Abca9"
"36";"Abcb10"
"37";"Abcb4"
"38";"Abcb6"
"39";"Abcb9"
"40";"Abcc1"
"41";"Abcd2"
"42";"Abce1"
"43";"Abcf1"
"44";"Abcf2"
"45";"Abcg1"
"46";"Abcg2"
"47";"Abhd11"
"48";"Abhd14a"
"49";"Abhd16a"
"50";"Abhd2"
"51";"Abhd5"
"52";"Abi3"
"53";"Ablim1"
"54";"Acaa2"
"55";"Acad11"
"56";"Acad9"
"57";"Ace"
"58";"Ache"
"59";"Ackr1"
"60";"Aco2"
"61";"Acot1"
"62";"Acot13"
"63";"Acot2"
"64";"Acot7"
"65";"Acp1"
"66";"Acp5"
"67";"Acp6"
"68";"Acsbg1"
"69";"Acsl1"
"70";"Acsl5"
"71";"Acsl6"
"72";"Acss1"
"73";"Acss2"
"74";"Acta2"
"75";"Actb"
"76";"Actn1"
"77";"Actn4"
"78";"Acvrl1"
"79";"Acy1"
"80";"Adam11"
"81";"Adam8"
"82";"Adck5"
"83";"Adcy3"
"84";"Add2"
"85";"Adgre1"
"86";"Adgre4"
"87";"Adgre5"
"88";"Adgrg1"
"89";"Adgrg3"
"90";"Adgrl1"
"91";"Adgrl2"
"92";"Adgrl4"
"93";"Adk"
"94";"Adm"
"95";"Adora2b"
"96";"Adora3"
"97";"Adpgk"
"98";"Adrb2"
"99";"Adrm1"
