"","ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position"
"1","ENSG00000281486","SNTG2","syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]","protein_coding","CHR_HSCHR2_3_CTG1",1209102
"2","ENSG00000262826","INTS3","integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]","protein_coding","CHR_HSCHR1_1_CTG31",153745298
"3","ENSG00000274891","TRAPPC12","trafficking protein particle complex 12 [Source:HGNC Symbol;Acc:HGNC:24284]","protein_coding","CHR_HSCHR2_1_CTG1",3401777
"4","ENSG00000280830","ADI1","acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]","protein_coding","CHR_HSCHR2_1_CTG1",3498728
"5","ENSG00000263163","SLC27A3","solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]","protein_coding","CHR_HSCHR1_1_CTG31",153791585
"6","ENSG00000261992","GATAD2B","GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]","protein_coding","CHR_HSCHR1_1_CTG31",153821956
"7","ENSG00000277101","ARHGEF26","Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]","protein_coding","CHR_HSCHR3_2_CTG2_1",154121003
"8","ENSG00000281763","DHX36","DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]","protein_coding","CHR_HSCHR3_2_CTG2_1",154275723
"9","ENSG00000281020","SNTG2","syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]","protein_coding","CHR_HSCHR2_4_CTG1",1316265
"10","ENSG00000277603","TPO","thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]","protein_coding","CHR_HSCHR2_4_CTG1",1372594
"11","ENSG00000275326","NOSTRIN","nitric oxide synthase trafficking [Source:HGNC Symbol;Acc:HGNC:20203]","protein_coding","CHR_HSCHR2_1_CTG7_2",168831472
"12","ENSG00000277909","SPC25","SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]","protein_coding","CHR_HSCHR2_1_CTG7_2",168834132
"13","ENSG00000277354","CRIM1","cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]","protein_coding","CHR_HSCHR2_1_CTG5",36361959
"14","ENSG00000281060","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_8_CTG3",195658062
